CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
7457,2,1,AMEGLIO GIOVANNI,,0,GIOVANNI AMEGLIO,GIOVANNI AMEGLIO,GIOVANNI AMEGLIO,
7458,2,1,THOUAR PIETRO,19280518,0,PIETRO THOUAR,PIETRO THOUAR,PIETRO THOUAR,
7459,2,1,CINQUE MAGGIO,,0,CINQUE MAGGIO,CINQUE MAGGIO,CINQUE MAGGIO,
7460,2,1,FABRIZI NICOLA,19280512,0,NICOLA FABRIZI,NICOLA FABRIZI,NICOLA FABRIZI,
7461,2,1,ALDINI ANTONIO,,0,ANTONIO ALDINI,ANTONIO ALDINI,ANTONIO ALDINI,
7462,2,1,PIOMBINO,,0,PIOMBINO,PIOMBINO,PIOMBINO,
7463,2,1,ZOAGLI ADELE,,0,ADELE ZOAGLI,ADELE ZOAGLI,ADELE ZOAGLI,
7464,2,1,DRAGO MARIA,,0,MARIA DRAGO,MARIA DRAGO,MARIA DRAGO,
7465,2,1,GRASSI GIOVANNI BATTISTA,,0,GIOVANNI BATTISTA GRASSI,GIOVANNI BATTISTA GRASSI,GIOVANNI BATTISTA GRASSI,
7466,2,1,CAMPANELLA TOMMASO,,0,TOMMASO CAMPANELLA,TOMMASO CAMPANELLA,TOMMASO CAMPANELLA,
7467,2,4,BOCCIONI UMBERTO,,0,UMBERTO BOCCIONI,UMBERTO BOCCIONI,UMBERTO BOCCIONI,
7468,2,1,RIZZO LUIGI,19691014,0,LUIGI RIZZO,LUIGI RIZZO,LUIGI RIZZO,
7469,2,1,PIZZONI ALFREDO,19660510,0,ALFREDO PIZZONI,ALFREDO PIZZONI,ALFREDO PIZZONI,
7470,2,1,CARBONIA,,0,CARBONIA,CARBONIA,CARBONIA,
7471,2,1,COGNE,,0,COGNE,COGNE,COGNE,
7472,2,1,ARSIA,,0,ARSIA,ARSIA,ARSIA,
7473,2,1,OTRANTO,,0,OTRANTO,OTRANTO,OTRANTO,
7474,2,1,ANDERLONI PIETRO,,0,PIETRO ANDERLONI,PIETRO ANDERLONI,PIETRO ANDERLONI,
7475,2,1,CITTADINI PIER FRANCESCO,,0,PIER FRANCESCO CITTADINI,PIER FRANCESCO CITTADINI,PIER FRANCESCO CITTADINI,
7476,2,1,ORSINI FELICE,,0,FELICE ORSINI,FELICE ORSINI,FELICE ORSINI,
7477,2,1,KANT EMANUELE,19660118,0,EMANUELE KANT,EMANUELE KANT,EMANUELE KANT,
7478,2,1,QUARENGHI GIACOMO,,0,GIACOMO QUARENGHI,GIACOMO QUARENGHI,GIACOMO QUARENGHI,
7479,2,3,KENNEDY JOHN FITZGERALD,,0,JOHN FITZGERALD KENNEDY,JOHN FITZGERALD KENNEDY,JOHN FITZGERALD KENNEDY,
7480,2,10,GHISALLO (DEL),19571119,0,DEL GHISALLO,DEL GHISALLO,DEL GHISALLO,
7481,2,19,STELLA,19571119,0,STELLA,STELLA,MONTE STELLA,
7482,2,2,DE GASPERI ALCIDE,,0,ALCIDE DE GASPERI,ALCIDE DE GASPERI,ALCIDE DE GASPERI,
7483,2,1,GROSIO,,0,GROSIO,GROSIO,GROSIO,
7484,2,1,PIZZIGONI GIUSEPPINA,,0,GIUSEPPINA PIZZIGONI,GIUSEPPINA PIZZIGONI,GIUSEPPINA PIZZIGONI,
7485,2,2,GHISALLO (DEL),,0,DEL GHISALLO,DEL GHISALLO,DEL GHISALLO,
7486,2,1,MAGREGLIO,,0,MAGREGLIO,MAGREGLIO,MAGREGLIO,
7487,2,1,CIVENNA,,0,CIVENNA,CIVENNA,CIVENNA,
7488,2,1,INVERIGO,,0,INVERIGO,INVERIGO,INVERIGO,
7489,2,1,VAL LAGARINA,,0,VAL LAGARINA,VAL LAGARINA,VAL LAGARINA,
7490,2,1,LESSONA MICHELE,19301002,0,MICHELE LESSONA,MICHELE LESSONA,MICHELE LESSONA,
7491,2,1,VAL DI FASSA,,0,VAL DI FASSA,VAL DI FASSA,VAL DI FASSA,
7492,2,1,VAL MALENCO,,0,VAL MALENCO,VAL MALENCO,VAL MALENCO,
7493,2,1,VALSASSINA,,0,VALSASSINA,VALSASSINA,VALSASSINA,
7494,2,1,VAL TROMPIA,,0,VAL TROMPIA,VAL TROMPIA,VAL TROMPIA,
7495,2,1,URUGUAY,,0,URUGUAY,URUGUAY,URUGUAY,
7496,2,1,ANDE (DELLE),,0,DELLE ANDE,DELLE ANDE,DELLE ANDE,
7497,2,1,BENELLI SEM,,0,SEM BENELLI,SEM BENELLI,SEM BENELLI,
7498,2,1,VENEZUELA,,0,VENEZUELA,VENEZUELA,VENEZUELA,
7499,2,1,CROCE BENEDETTO,,0,BENEDETTO CROCE,BENEDETTO CROCE,BENEDETTO CROCE,
7500,2,1,VENEZIA GIULIA,,0,VENEZIA GIULIA,VENEZIA GIULIA,VENEZIA GIULIA,
7501,2,1,BELGIOIOSO CRISTINA,19280518,0,CRISTINA BELGIOIOSO,CRISTINA BELGIOIOSO,CRISTINA BELGIOIOSO,
7502,2,1,REPUBBLICA DI SAN MARINO,,0,REPUBBLICA DI SAN MARINO,REPUBBLICA DI SAN MARINO,REPUBBLICA DI SAN MARINO,
7503,2,1,BOLIVIA,,0,BOLIVIA,BOLIVIA,BOLIVIA,
7504,2,1,TRIDENTINA,,0,TRIDENTINA,TRIDENTINA,VENEZIA TRIDENTINA,
7505,2,1,POLONIA,,0,POLONIA,POLONIA,POLONIA,
7506,2,1,ARCISATE,19660513,0,ARCISATE,ARCISATE,ARCISATE,
7507,2,1,CORBETTA,19660513,0,CORBETTA,CORBETTA,CORBETTA,
7508,2,1,ZACCONI ERMETE,19660513,0,ERMETE ZACCONI,ERMETE ZACCONI,ERMETE ZACCONI,
7509,2,1,MARTOGLIO NINO,19660512,0,NINO MARTOGLIO,NINO MARTOGLIO,NINO MARTOGLIO,
7510,2,1,CAMASIO SANDRO,19660511,0,SANDRO CAMASIO,SANDRO CAMASIO,SANDRO CAMASIO,
7511,2,1,GRASSO GIOVANNI,19660511,0,GIOVANNI GRASSO,GIOVANNI GRASSO,GIOVANNI GRASSO,
7512,2,1,MUSCO ANGELO,19660512,0,ANGELO MUSCO,ANGELO MUSCO,ANGELO MUSCO,
7513,2,1,CALZINI RAFFAELE,,0,RAFFAELE CALZINI,RAFFAELE CALZINI,RAFFAELE CALZINI,
7514,2,1,APPENNINI,,0,APPENNINI,APPENNINI,APPENNINI,
7515,2,1,CECHOV ANTONIO,,0,ANTONIO CECHOV,ANTONIO CECHOV,ANTONIO CECHOV,
7516,2,1,OJETTI UGO,,0,UGO OJETTI,UGO OJETTI,UGO OJETTI,
7517,2,1,BETTI UGO,,0,UGO BETTI,UGO BETTI,UGO BETTI,
7518,2,1,OMODEO ADOLFO,,0,ADOLFO OMODEO,ADOLFO OMODEO,ADOLFO OMODEO,
7519,2,1,CHIARELLI LUIGI,,0,LUIGI CHIARELLI,LUIGI CHIARELLI,LUIGI CHIARELLI,
7520,2,1,LONGARONE,,0,LONGARONE,LONGARONE,LONGARONE,
